Year,Hour,To,From,Fuel,value
2050,23,DE,DE,Power,0.0
2020,24,DE,DE,Power,0.0
2030,24,DE,DE,Power,0.0
2040,24,DE,DE,Power,0.0
2050,24,DE,DE,Power,0.0
2020,25,DE,DE,Power,0.0
2030,25,DE,DE,Power,0.0
2040,25,DE,DE,Power,0.0
2050,25,DE,DE,Power,0.0
2020,26,DE,DE,Power,0.0
2030,26,DE,DE,Power,0.0
2040,26,DE,DE,Power,0.0
2050,26,DE,DE,Power,0.0
2020,27,DE,DE,Power,0.0
2030,27,DE,DE,Power,0.0
2040,27,DE,DE,Power,0.0
2050,27,DE,DE,Power,0.0
2020,28,DE,DE,Power,0.0
2030,28,DE,DE,Power,0.0
2040,28,DE,DE,Power,0.0
2050,28,DE,DE,Power,0.0
2020,29,DE,DE,Power,0.0
2030,29,DE,DE,Power,0.0
2040,29,DE,DE,Power,0.0
2050,29,DE,DE,Power,0.0
2020,30,DE,DE,Power,0.0
2030,30,DE,DE,Power,0.0
2040,30,DE,DE,Power,0.0
2050,30,DE,DE,Power,0.0
2020,31,DE,DE,Power,0.0
2030,31,DE,DE,Power,0.0
2040,31,DE,DE,Power,0.0
2050,31,DE,DE,Power,0.0
2020,32,DE,DE,Power,0.0
2030,32,DE,DE,Power,0.0
2040,32,DE,DE,Power,0.0
2050,32,DE,DE,Power,0.0
2020,33,DE,DE,Power,0.0
2030,33,DE,DE,Power,0.0
2040,33,DE,DE,Power,0.0
2050,33,DE,DE,Power,0.0
2020,34,DE,DE,Power,0.0
2030,34,DE,DE,Power,0.0
2040,34,DE,DE,Power,0.0
2050,34,DE,DE,Power,0.0
2020,35,DE,DE,Power,0.0
2030,35,DE,DE,Power,0.0
2040,35,DE,DE,Power,0.0
2050,35,DE,DE,Power,0.0
2020,36,DE,DE,Power,0.0
2030,36,DE,DE,Power,0.0
2040,36,DE,DE,Power,0.0
2050,36,DE,DE,Power,0.0
2020,37,DE,DE,Power,0.0
2030,37,DE,DE,Power,0.0
2040,37,DE,DE,Power,0.0
2050,37,DE,DE,Power,0.0
2020,38,DE,DE,Power,0.0
2030,38,DE,DE,Power,0.0
2040,38,DE,DE,Power,0.0
2050,38,DE,DE,Power,0.0
2020,39,DE,DE,Power,0.0
2030,39,DE,DE,Power,0.0
2040,39,DE,DE,Power,0.0
2050,39,DE,DE,Power,0.0
2020,40,DE,DE,Power,0.0
2030,40,DE,DE,Power,0.0
2040,40,DE,DE,Power,0.0
2050,40,DE,DE,Power,0.0
2020,41,DE,DE,Power,0.0
2030,41,DE,DE,Power,0.0
2040,41,DE,DE,Power,0.0
2050,41,DE,DE,Power,0.0
2020,42,DE,DE,Power,0.0
2030,42,DE,DE,Power,0.0
2040,42,DE,DE,Power,0.0
2050,42,DE,DE,Power,0.0
2020,43,DE,DE,Power,0.0
2030,43,DE,DE,Power,0.0
2040,43,DE,DE,Power,0.0
2050,43,DE,DE,Power,0.0
2020,44,DE,DE,Power,0.0
2030,44,DE,DE,Power,0.0
2040,44,DE,DE,Power,0.0
2050,44,DE,DE,Power,0.0
2020,45,DE,DE,Power,0.0
2030,45,DE,DE,Power,0.0
2040,45,DE,DE,Power,0.0
2050,45,DE,DE,Power,0.0
2020,46,DE,DE,Power,0.0
2030,46,DE,DE,Power,0.0
2040,46,DE,DE,Power,0.0
2050,46,DE,DE,Power,0.0
2020,47,DE,DE,Power,0.0
2030,47,DE,DE,Power,0.0
2040,47,DE,DE,Power,0.0
2050,47,DE,DE,Power,0.0
2020,48,DE,DE,Power,0.0
2030,48,DE,DE,Power,0.0
2040,48,DE,DE,Power,0.0
2050,48,DE,DE,Power,0.0
2020,49,DE,DE,Power,0.0
2030,49,DE,DE,Power,0.0
2040,49,DE,DE,Power,0.0
2050,49,DE,DE,Power,0.0
2020,50,DE,DE,Power,0.0
2030,50,DE,DE,Power,0.0
2040,50,DE,DE,Power,0.0
2050,50,DE,DE,Power,0.0
2020,51,DE,DE,Power,0.0
2030,51,DE,DE,Power,0.0
2040,51,DE,DE,Power,0.0
2050,51,DE,DE,Power,0.0
2020,52,DE,DE,Power,0.0
2030,52,DE,DE,Power,0.0
2040,52,DE,DE,Power,0.0
2050,52,DE,DE,Power,0.0
2020,53,DE,DE,Power,0.0
2030,53,DE,DE,Power,0.0
2040,53,DE,DE,Power,0.0
2050,53,DE,DE,Power,0.0
2020,54,DE,DE,Power,0.0
2030,54,DE,DE,Power,0.0
2040,54,DE,DE,Power,0.0
2050,54,DE,DE,Power,0.0
2020,55,DE,DE,Power,0.0
2030,55,DE,DE,Power,0.0
2040,55,DE,DE,Power,0.0
2050,55,DE,DE,Power,0.0
2020,56,DE,DE,Power,0.0
2030,56,DE,DE,Power,0.0
2040,56,DE,DE,Power,0.0
2050,56,DE,DE,Power,0.0
2020,57,DE,DE,Power,0.0
2030,57,DE,DE,Power,0.0
2040,57,DE,DE,Power,0.0
2050,57,DE,DE,Power,0.0
2020,58,DE,DE,Power,0.0
2030,58,DE,DE,Power,0.0
2040,58,DE,DE,Power,0.0
2050,58,DE,DE,Power,0.0
2020,59,DE,DE,Power,0.0
2030,59,DE,DE,Power,0.0
2040,59,DE,DE,Power,0.0
2050,59,DE,DE,Power,0.0
2020,60,DE,DE,Power,0.0
2030,60,DE,DE,Power,0.0
2040,60,DE,DE,Power,0.0
2050,60,DE,DE,Power,0.0
2020,61,DE,DE,Power,0.0
2030,61,DE,DE,Power,0.0
2040,61,DE,DE,Power,0.0
2050,61,DE,DE,Power,0.0
2020,62,DE,DE,Power,0.0
2030,62,DE,DE,Power,0.0
2040,62,DE,DE,Power,0.0
2050,62,DE,DE,Power,0.0
2020,63,DE,DE,Power,0.0
2030,63,DE,DE,Power,0.0
2040,63,DE,DE,Power,0.0
2050,63,DE,DE,Power,0.0
2020,64,DE,DE,Power,0.0
2030,64,DE,DE,Power,0.0
2040,64,DE,DE,Power,0.0
2050,64,DE,DE,Power,0.0
2020,65,DE,DE,Power,0.0
2030,65,DE,DE,Power,0.0
2040,65,DE,DE,Power,0.0
2050,65,DE,DE,Power,0.0
2020,66,DE,DE,Power,0.0
2030,66,DE,DE,Power,0.0
2040,66,DE,DE,Power,0.0
2050,66,DE,DE,Power,0.0
2020,67,DE,DE,Power,0.0
2030,67,DE,DE,Power,0.0
2040,67,DE,DE,Power,0.0
2050,67,DE,DE,Power,0.0
2020,68,DE,DE,Power,0.0
2030,68,DE,DE,Power,0.0
2040,68,DE,DE,Power,0.0
2050,68,DE,DE,Power,0.0
2020,69,DE,DE,Power,0.0
2030,69,DE,DE,Power,0.0
2040,69,DE,DE,Power,0.0
2050,69,DE,DE,Power,0.0
2020,70,DE,DE,Power,0.0
2030,70,DE,DE,Power,0.0
2040,70,DE,DE,Power,0.0
2050,70,DE,DE,Power,0.0
2020,71,DE,DE,Power,0.0
2030,71,DE,DE,Power,0.0
2040,71,DE,DE,Power,0.0
2050,71,DE,DE,Power,0.0
2020,72,DE,DE,Power,0.0
2030,72,DE,DE,Power,0.0
2040,72,DE,DE,Power,0.0
2050,72,DE,DE,Power,0.0
2020,73,DE,DE,Power,0.0
2030,73,DE,DE,Power,0.0
2040,73,DE,DE,Power,0.0
2050,73,DE,DE,Power,0.0
2020,74,DE,DE,Power,0.0
2030,74,DE,DE,Power,0.0
2040,74,DE,DE,Power,0.0
2050,74,DE,DE,Power,0.0
2020,75,DE,DE,Power,0.0
2030,75,DE,DE,Power,0.0
2040,75,DE,DE,Power,0.0
2050,75,DE,DE,Power,0.0
2020,76,DE,DE,Power,0.0
2030,76,DE,DE,Power,0.0
2040,76,DE,DE,Power,0.0
2050,76,DE,DE,Power,0.0
2020,77,DE,DE,Power,0.0
2030,77,DE,DE,Power,0.0
2040,77,DE,DE,Power,0.0
2050,77,DE,DE,Power,0.0
2020,78,DE,DE,Power,0.0
2030,78,DE,DE,Power,0.0
2040,78,DE,DE,Power,0.0
2050,78,DE,DE,Power,0.0
2020,79,DE,DE,Power,0.0
2030,79,DE,DE,Power,0.0
2040,79,DE,DE,Power,0.0
2050,79,DE,DE,Power,0.0
2020,80,DE,DE,Power,0.0
2030,80,DE,DE,Power,0.0
2040,80,DE,DE,Power,0.0
2050,80,DE,DE,Power,0.0
2020,81,DE,DE,Power,0.0
2030,81,DE,DE,Power,0.0
2040,81,DE,DE,Power,0.0
2050,81,DE,DE,Power,0.0
2020,82,DE,DE,Power,0.0
2030,82,DE,DE,Power,0.0
2040,82,DE,DE,Power,0.0
2050,82,DE,DE,Power,0.0
2020,83,DE,DE,Power,0.0
2030,83,DE,DE,Power,0.0
2040,83,DE,DE,Power,0.0
2050,83,DE,DE,Power,0.0
2020,84,DE,DE,Power,0.0
2030,84,DE,DE,Power,0.0
2040,84,DE,DE,Power,0.0
2050,84,DE,DE,Power,0.0
2020,85,DE,DE,Power,0.0
2030,85,DE,DE,Power,0.0
2040,85,DE,DE,Power,0.0
2050,85,DE,DE,Power,0.0
2020,86,DE,DE,Power,0.0
2030,86,DE,DE,Power,0.0
2040,86,DE,DE,Power,0.0
2050,86,DE,DE,Power,0.0
2020,87,DE,DE,Power,0.0
2030,87,DE,DE,Power,0.0
2040,87,DE,DE,Power,0.0
2050,87,DE,DE,Power,0.0
2020,88,DE,DE,Power,0.0
2030,88,DE,DE,Power,0.0
2040,88,DE,DE,Power,0.0
2050,88,DE,DE,Power,0.0
2020,89,DE,DE,Power,0.0
2030,89,DE,DE,Power,0.0
2040,89,DE,DE,Power,0.0
2050,89,DE,DE,Power,0.0
2020,90,DE,DE,Power,0.0
2030,90,DE,DE,Power,0.0
2040,90,DE,DE,Power,0.0
2050,90,DE,DE,Power,0.0
2020,91,DE,DE,Power,0.0
2030,91,DE,DE,Power,0.0
2040,91,DE,DE,Power,0.0
2050,91,DE,DE,Power,0.0
2020,92,DE,DE,Power,0.0
2030,92,DE,DE,Power,0.0
2040,92,DE,DE,Power,0.0
2050,92,DE,DE,Power,0.0
2020,93,DE,DE,Power,0.0
2030,93,DE,DE,Power,0.0
2040,93,DE,DE,Power,0.0
2050,93,DE,DE,Power,0.0
2020,94,DE,DE,Power,0.0
2030,94,DE,DE,Power,0.0
2040,94,DE,DE,Power,0.0
2050,94,DE,DE,Power,0.0
2020,95,DE,DE,Power,0.0
2030,95,DE,DE,Power,0.0
2040,95,DE,DE,Power,0.0
2050,95,DE,DE,Power,0.0
2020,96,DE,DE,Power,0.0
2030,96,DE,DE,Power,0.0
2040,96,DE,DE,Power,0.0
2050,96,DE,DE,Power,0.0
2020,97,DE,DE,Power,0.0
2030,97,DE,DE,Power,0.0
2040,97,DE,DE,Power,0.0
2050,97,DE,DE,Power,0.0
2020,98,DE,DE,Power,0.0
2030,98,DE,DE,Power,0.0
2040,98,DE,DE,Power,0.0
2050,98,DE,DE,Power,0.0
2020,99,DE,DE,Power,0.0
2030,99,DE,DE,Power,0.0
2040,99,DE,DE,Power,0.0
2050,99,DE,DE,Power,0.0
2020,100,DE,DE,Power,0.0
2030,100,DE,DE,Power,0.0
2040,100,DE,DE,Power,0.0
2050,100,DE,DE,Power,0.0
2020,101,DE,DE,Power,0.0
2030,101,DE,DE,Power,0.0
2040,101,DE,DE,Power,0.0
2050,101,DE,DE,Power,0.0
2020,102,DE,DE,Power,0.0
2030,102,DE,DE,Power,0.0
2040,102,DE,DE,Power,0.0
2050,102,DE,DE,Power,0.0
2020,103,DE,DE,Power,0.0
2030,103,DE,DE,Power,0.0
2040,103,DE,DE,Power,0.0
2050,103,DE,DE,Power,0.0
2020,104,DE,DE,Power,0.0
2030,104,DE,DE,Power,0.0
2040,104,DE,DE,Power,0.0
2050,104,DE,DE,Power,0.0
2020,105,DE,DE,Power,0.0
2030,105,DE,DE,Power,0.0
2040,105,DE,DE,Power,0.0
2050,105,DE,DE,Power,0.0
2020,106,DE,DE,Power,0.0
2030,106,DE,DE,Power,0.0
2040,106,DE,DE,Power,0.0
2050,106,DE,DE,Power,0.0
2020,107,DE,DE,Power,0.0
2030,107,DE,DE,Power,0.0
2040,107,DE,DE,Power,0.0
2050,107,DE,DE,Power,0.0
2020,108,DE,DE,Power,0.0
2030,108,DE,DE,Power,0.0
2040,108,DE,DE,Power,0.0
2050,108,DE,DE,Power,0.0
2020,109,DE,DE,Power,0.0
2030,109,DE,DE,Power,0.0
2040,109,DE,DE,Power,0.0
2050,109,DE,DE,Power,0.0
2020,110,DE,DE,Power,0.0
2030,110,DE,DE,Power,0.0
2040,110,DE,DE,Power,0.0
2050,110,DE,DE,Power,0.0
2020,111,DE,DE,Power,0.0
2030,111,DE,DE,Power,0.0
2040,111,DE,DE,Power,0.0
2050,111,DE,DE,Power,0.0
2020,112,DE,DE,Power,0.0
2030,112,DE,DE,Power,0.0
2040,112,DE,DE,Power,0.0
2050,112,DE,DE,Power,0.0
2020,113,DE,DE,Power,0.0
2030,113,DE,DE,Power,0.0
2040,113,DE,DE,Power,0.0
2050,113,DE,DE,Power,0.0
2020,114,DE,DE,Power,0.0
2030,114,DE,DE,Power,0.0
2040,114,DE,DE,Power,0.0
2050,114,DE,DE,Power,0.0
2020,115,DE,DE,Power,0.0
2030,115,DE,DE,Power,0.0
2040,115,DE,DE,Power,0.0
2050,115,DE,DE,Power,0.0
2020,116,DE,DE,Power,0.0
2030,116,DE,DE,Power,0.0
2040,116,DE,DE,Power,0.0
2050,116,DE,DE,Power,0.0
2020,117,DE,DE,Power,0.0
2030,117,DE,DE,Power,0.0
2040,117,DE,DE,Power,0.0
2050,117,DE,DE,Power,0.0
2020,118,DE,DE,Power,0.0
2030,118,DE,DE,Power,0.0
2040,118,DE,DE,Power,0.0
2050,118,DE,DE,Power,0.0
2020,119,DE,DE,Power,0.0
2030,119,DE,DE,Power,0.0
2040,119,DE,DE,Power,0.0
2050,119,DE,DE,Power,0.0
2020,120,DE,DE,Power,0.0
2030,120,DE,DE,Power,0.0
2040,120,DE,DE,Power,0.0
2050,120,DE,DE,Power,0.0
2020,1,FR,DE,Power,14.981423144666667
2030,1,FR,DE,Power,0.0
2040,1,FR,DE,Power,7.225873616445689
2050,1,FR,DE,Power,0.0
2020,2,FR,DE,Power,14.238226108490961
2030,2,FR,DE,Power,7.694677341000002
2040,2,FR,DE,Power,9.33077139093913
2050,2,FR,DE,Power,0.0
2020,3,FR,DE,Power,15.0
2030,3,FR,DE,Power,18.0
2040,3,FR,DE,Power,40.0
2050,3,FR,DE,Power,0.0
2020,4,FR,DE,Power,15.0
2030,4,FR,DE,Power,18.0
2040,4,FR,DE,Power,40.0
2050,4,FR,DE,Power,0.0
2020,5,FR,DE,Power,15.0
2030,5,FR,DE,Power,18.0
2040,5,FR,DE,Power,40.0
2050,5,FR,DE,Power,0.0
2020,6,FR,DE,Power,15.0
2030,6,FR,DE,Power,18.0
2040,6,FR,DE,Power,19.33684808112505
2050,6,FR,DE,Power,0.0
2020,7,FR,DE,Power,15.0
2030,7,FR,DE,Power,2.463865091828941
2040,7,FR,DE,Power,2.1039736949857115
2050,7,FR,DE,Power,0.0
2020,8,FR,DE,Power,15.0
2030,8,FR,DE,Power,0.0
2040,8,FR,DE,Power,0.0
2050,8,FR,DE,Power,0.0
2020,9,FR,DE,Power,15.0
2030,9,FR,DE,Power,0.0
2040,9,FR,DE,Power,0.0
2050,9,FR,DE,Power,0.0
2020,10,FR,DE,Power,0.0
2030,10,FR,DE,Power,0.0
2040,10,FR,DE,Power,0.0
2050,10,FR,DE,Power,0.0
2020,11,FR,DE,Power,0.0
2030,11,FR,DE,Power,0.0
2040,11,FR,DE,Power,0.0
2050,11,FR,DE,Power,0.0
2020,12,FR,DE,Power,0.0
2030,12,FR,DE,Power,0.0
2040,12,FR,DE,Power,0.0
2050,12,FR,DE,Power,0.0
2020,13,FR,DE,Power,10.505423959408274
2030,13,FR,DE,Power,0.0
2040,13,FR,DE,Power,0.0
2050,13,FR,DE,Power,0.0
2020,14,FR,DE,Power,15.0
2030,14,FR,DE,Power,15.013641155532742
2040,14,FR,DE,Power,0.0
2050,14,FR,DE,Power,0.0
2020,15,FR,DE,Power,15.0
2030,15,FR,DE,Power,18.0
2040,15,FR,DE,Power,0.0
2050,15,FR,DE,Power,0.0
2020,16,FR,DE,Power,15.0
2030,16,FR,DE,Power,18.0
2040,16,FR,DE,Power,0.0
2050,16,FR,DE,Power,0.0
2020,17,FR,DE,Power,15.0
2030,17,FR,DE,Power,18.0
2040,17,FR,DE,Power,20.739447120384956
2050,17,FR,DE,Power,0.0
2020,18,FR,DE,Power,15.0
2030,18,FR,DE,Power,10.038803312324557
2040,18,FR,DE,Power,4.0825952906401834
2050,18,FR,DE,Power,0.0
2020,19,FR,DE,Power,15.0
2030,19,FR,DE,Power,6.357805811999999
2040,19,FR,DE,Power,0.0
2050,19,FR,DE,Power,0.0
2020,20,FR,DE,Power,15.0
2030,20,FR,DE,Power,18.0
2040,20,FR,DE,Power,35.61107975999999
2050,20,FR,DE,Power,0.0
2020,21,FR,DE,Power,15.0
2030,21,FR,DE,Power,18.0
2040,21,FR,DE,Power,31.153825144999995
2050,21,FR,DE,Power,0.0
2020,22,FR,DE,Power,15.0
2030,22,FR,DE,Power,8.839497541547267
2040,22,FR,DE,Power,28.296407085000002
2050,22,FR,DE,Power,0.0
2020,23,FR,DE,Power,1.2220002846497042
2030,23,FR,DE,Power,0.0
2040,23,FR,DE,Power,0.0
2050,23,FR,DE,Power,0.0
2020,24,FR,DE,Power,9.520521955618872
2030,24,FR,DE,Power,2.5196670250000075
2040,24,FR,DE,Power,0.0
2050,24,FR,DE,Power,0.0
2020,25,FR,DE,Power,15.0
2030,25,FR,DE,Power,9.048268514
2040,25,FR,DE,Power,10.545478668375633
2050,25,FR,DE,Power,0.0
2020,26,FR,DE,Power,15.0
2030,26,FR,DE,Power,18.0
2040,26,FR,DE,Power,40.0
2050,26,FR,DE,Power,0.0
2020,27,FR,DE,Power,4.761763263999995
2030,27,FR,DE,Power,15.715791476844888
2040,27,FR,DE,Power,26.264336433339597
2050,27,FR,DE,Power,0.0
2020,28,FR,DE,Power,0.0
2030,28,FR,DE,Power,14.714274163333323
2040,28,FR,DE,Power,0.0
2050,28,FR,DE,Power,0.0
2020,29,FR,DE,Power,0.0
2030,29,FR,DE,Power,0.03427905033334966
2040,29,FR,DE,Power,0.0
2050,29,FR,DE,Power,0.0
2020,30,FR,DE,Power,2.616770160666672
2030,30,FR,DE,Power,0.0
2040,30,FR,DE,Power,0.0
2050,30,FR,DE,Power,0.0
2020,31,FR,DE,Power,0.02071992144504042
2030,31,FR,DE,Power,0.0
2040,31,FR,DE,Power,0.0
2050,31,FR,DE,Power,0.0
2020,32,FR,DE,Power,0.0
2030,32,FR,DE,Power,0.0
2040,32,FR,DE,Power,0.0
2050,32,FR,DE,Power,0.0
2020,33,FR,DE,Power,0.4128734335164653
2030,33,FR,DE,Power,0.0
2040,33,FR,DE,Power,0.0
2050,33,FR,DE,Power,0.0
2020,34,FR,DE,Power,0.0
2030,34,FR,DE,Power,0.0
2040,34,FR,DE,Power,0.0
2050,34,FR,DE,Power,0.0
2020,35,FR,DE,Power,0.0
2030,35,FR,DE,Power,0.0
2040,35,FR,DE,Power,0.0
2050,35,FR,DE,Power,0.0
2020,36,FR,DE,Power,0.0
2030,36,FR,DE,Power,0.0
2040,36,FR,DE,Power,0.0
2050,36,FR,DE,Power,0.0
2020,37,FR,DE,Power,0.0
2030,37,FR,DE,Power,0.0
2040,37,FR,DE,Power,0.0
2050,37,FR,DE,Power,0.0
2020,38,FR,DE,Power,7.909668465105815
2030,38,FR,DE,Power,0.0
2040,38,FR,DE,Power,0.0
2050,38,FR,DE,Power,0.0
2020,39,FR,DE,Power,13.112372336305922
2030,39,FR,DE,Power,7.146608026999996
2040,39,FR,DE,Power,0.0
2050,39,FR,DE,Power,0.0
2020,40,FR,DE,Power,5.57936563
2030,40,FR,DE,Power,2.439322278999999
2040,40,FR,DE,Power,0.0
2050,40,FR,DE,Power,0.0
2020,41,FR,DE,Power,7.065226658
2030,41,FR,DE,Power,5.458867305
2040,41,FR,DE,Power,0.0
2050,41,FR,DE,Power,0.0
2020,42,FR,DE,Power,0.0
2030,42,FR,DE,Power,0.0
2040,42,FR,DE,Power,0.0
2050,42,FR,DE,Power,0.0
2020,43,FR,DE,Power,0.0
2030,43,FR,DE,Power,0.0
2040,43,FR,DE,Power,0.0
2050,43,FR,DE,Power,0.0
2020,44,FR,DE,Power,0.0
2030,44,FR,DE,Power,0.0
2040,44,FR,DE,Power,0.0
2050,44,FR,DE,Power,0.0
2020,45,FR,DE,Power,0.0
2030,45,FR,DE,Power,0.0
2040,45,FR,DE,Power,0.0
2050,45,FR,DE,Power,0.0
2020,46,FR,DE,Power,0.0
2030,46,FR,DE,Power,0.0
2040,46,FR,DE,Power,0.0
2050,46,FR,DE,Power,0.0
2020,47,FR,DE,Power,5.380787998000001
2030,47,FR,DE,Power,0.0
2040,47,FR,DE,Power,0.0
2050,47,FR,DE,Power,0.0
2020,48,FR,DE,Power,14.404804694
2030,48,FR,DE,Power,12.088902270950427
2040,48,FR,DE,Power,0.0
2050,48,FR,DE,Power,0.0
2020,49,FR,DE,Power,8.101231123999995
2030,49,FR,DE,Power,6.053356585999998
2040,49,FR,DE,Power,2.234529119812194
2050,49,FR,DE,Power,0.0
2020,50,FR,DE,Power,3.6433627806666706
2030,50,FR,DE,Power,13.674400312914706
2040,50,FR,DE,Power,0.0
2050,50,FR,DE,Power,0.0
2020,51,FR,DE,Power,0.0
2030,51,FR,DE,Power,0.0
2040,51,FR,DE,Power,0.0
2050,51,FR,DE,Power,0.0
2020,52,FR,DE,Power,0.0
2030,52,FR,DE,Power,0.0
2040,52,FR,DE,Power,0.0
2050,52,FR,DE,Power,0.0
2020,53,FR,DE,Power,0.0
2030,53,FR,DE,Power,0.0
2040,53,FR,DE,Power,0.0
2050,53,FR,DE,Power,0.0
2020,54,FR,DE,Power,0.0
2030,54,FR,DE,Power,0.0
2040,54,FR,DE,Power,0.0
2050,54,FR,DE,Power,0.0
2020,55,FR,DE,Power,0.0
2030,55,FR,DE,Power,0.0
2040,55,FR,DE,Power,0.0
2050,55,FR,DE,Power,0.0
2020,56,FR,DE,Power,0.0
2030,56,FR,DE,Power,0.0
2040,56,FR,DE,Power,0.0
2050,56,FR,DE,Power,0.0
2020,57,FR,DE,Power,0.0
2030,57,FR,DE,Power,0.0
2040,57,FR,DE,Power,0.0
2050,57,FR,DE,Power,0.0
2020,58,FR,DE,Power,0.0
2030,58,FR,DE,Power,0.0
2040,58,FR,DE,Power,0.0
2050,58,FR,DE,Power,0.0
2020,59,FR,DE,Power,0.0
2030,59,FR,DE,Power,0.0
2040,59,FR,DE,Power,0.0
2050,59,FR,DE,Power,0.0
2020,60,FR,DE,Power,0.0
2030,60,FR,DE,Power,0.0
2040,60,FR,DE,Power,0.0
2050,60,FR,DE,Power,0.0
2020,61,FR,DE,Power,0.0
2030,61,FR,DE,Power,0.0
2040,61,FR,DE,Power,0.0
2050,61,FR,DE,Power,0.0
2020,62,FR,DE,Power,0.0
2030,62,FR,DE,Power,0.0
2040,62,FR,DE,Power,0.0
2050,62,FR,DE,Power,0.0
2020,63,FR,DE,Power,0.0
2030,63,FR,DE,Power,0.0
2040,63,FR,DE,Power,0.0
2050,63,FR,DE,Power,0.0
2020,64,FR,DE,Power,1.8927597240869019
2030,64,FR,DE,Power,0.0
2040,64,FR,DE,Power,0.0
2050,64,FR,DE,Power,0.0
2020,65,FR,DE,Power,6.897992584632172
2030,65,FR,DE,Power,0.0
2040,65,FR,DE,Power,0.0
2050,65,FR,DE,Power,0.0
2020,66,FR,DE,Power,4.84141808411558
2030,66,FR,DE,Power,0.0
2040,66,FR,DE,Power,0.0
2050,66,FR,DE,Power,0.0
2020,67,FR,DE,Power,4.755656605380243
2030,67,FR,DE,Power,0.0
2040,67,FR,DE,Power,0.0
2050,67,FR,DE,Power,0.0
2020,68,FR,DE,Power,7.519491770514924
2030,68,FR,DE,Power,0.0
2040,68,FR,DE,Power,0.0
2050,68,FR,DE,Power,0.0
2020,69,FR,DE,Power,4.619455774212917
2030,69,FR,DE,Power,0.0
2040,69,FR,DE,Power,0.0
2050,69,FR,DE,Power,0.0
2020,70,FR,DE,Power,0.0
2030,70,FR,DE,Power,0.0
2040,70,FR,DE,Power,0.0
2050,70,FR,DE,Power,0.0
2020,71,FR,DE,Power,0.0
2030,71,FR,DE,Power,0.0
2040,71,FR,DE,Power,0.0
2050,71,FR,DE,Power,0.0
